source_file,source_sheet,source_row_id,field,campaign_raw,campaign_code,campaign_canonical,campaign_scope,campaign_mapping_basis,well_raw,well_canonical,well_base_canonical,well_instance_id,wbs_code_raw,wbs_lvl1,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,wbs_label_raw,cost_actual,currency,event_code_raw,event_code_desc,npt_class,mapping_status_campaign,mapping_status_well,mapping_method,mapping_confidence,source_text_used,tag_well_or_pad,tag_lvl5
20260327_WBS_Data.xlsx,Data.Summary,db7b460149006e97,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203920759-D245401,E540-30-D245401,E540-30203-D245401,E540-3020392-D245401,E540-302039207-D245401,E540-30203920759-D245401,Spec Req - Eng Pad AWI3,43417.870000,USD,,,,mapped,not_available_at_source_grain,none,low,Spec Req - Eng Pad AWI3 | Special Requirement Existing Pad | Spec Req - Eng Pad AWI3,Pad,Engineering
20260327_WBS_Data.xlsx,Data.Summary,a627bfa8a66f0523,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203860962-D245401,E540-30-D245401,E540-30203-D245401,E540-3020386-D245401,E540-302038609-D245401,E540-30203860962-D245401,Road & Pad Const Pad AWI9,90927.030000,USD,,,,mapped,not_available_at_source_grain,none,low,Road & Pad Const Pad AWI9 | Road and Pad | Road & Pad Const Pad AWI9,Pad,Construction
20260327_WBS_Data.xlsx,Data.Summary,d6199b2a1c7a21d3,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203860759-D245401,E540-30-D245401,E540-30203-D245401,E540-3020386-D245401,E540-302038607-D245401,E540-30203860759-D245401,Road & Pad Eng Pad AWI9,18558.070000,USD,,,,mapped,not_available_at_source_grain,none,low,Road & Pad Eng Pad AWI9 | Road and Pad | Road & Pad Eng Pad AWI9,Pad,Engineering
20260327_WBS_Data.xlsx,Data.Summary,b853c2d9eb969017,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203850962-D245401,E540-30-D245401,E540-30203-D245401,E540-3020385-D245401,E540-302038509-D245401,E540-30203850962-D245401,Road & Pad Const Pad AWI3,212923.340000,USD,,,,mapped,not_available_at_source_grain,none,low,Road & Pad Const Pad AWI3 | Road and Pad | Road & Pad Const Pad AWI3,Pad,Construction
20260327_WBS_Data.xlsx,Data.Summary,347e7ceffe56a856,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203850759-D245401,E540-30-D245401,E540-30203-D245401,E540-3020385-D245401,E540-302038507-D245401,E540-30203850759-D245401,Road & Pad Eng Pad AWI3,13093.050000,USD,,,,mapped,not_available_at_source_grain,none,low,Road & Pad Eng Pad AWI3 | Road and Pad | Road & Pad Eng Pad AWI3,Pad,Engineering
20260327_WBS_Data.xlsx,Data.Summary,b8b7dd42ef564761,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203890963-D245401,E540-30-D245401,E540-30203-D245401,E540-3020389-D245401,E540-302038909-D245401,E540-30203890963-D245401,"Tie In - Inst,HookUp&Pre-Comm AWI23",0.000000,USD,,,,mapped,not_available_at_source_grain,none,low,"Tie In - Inst,HookUp&Pre-Comm AWI23 | Tie-in | Tie In - Inst,HookUp&Pre-Comm AWI23",Pad,"Installation, Hook Up & Pre-Commisioning"
20260327_WBS_Data.xlsx,Data.Summary,040054f525d837b0,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203890821-D245401,E540-30-D245401,E540-30203-D245401,E540-3020389-D245401,E540-302038908-D245401,E540-30203890821-D245401,Tie In - Material Non LL AWI23,44694.000000,USD,,,,mapped,not_available_at_source_grain,none,low,Tie In - Material Non LL AWI23 | Tie-in | Tie In - Material Non LL AWI23,Pad,Material - Non LL
20260327_WBS_Data.xlsx,Data.Summary,e212cad996274b64,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203890860-D245401,E540-30-D245401,E540-30203-D245401,E540-3020389-D245401,E540-302038908-D245401,E540-30203890860-D245401,Tie In - Material LL AWI23,176595.780000,USD,,,,mapped,not_available_at_source_grain,none,low,Tie In - Material LL AWI23 | Tie-in | Tie In - Material LL AWI23,Pad,Material - LL
20260327_WBS_Data.xlsx,Data.Summary,637bb248e260c19f,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203890759-D245401,E540-30-D245401,E540-30203-D245401,E540-3020389-D245401,E540-302038907-D245401,E540-30203890759-D245401,Tie In - Eng AWI23,89105.600000,USD,,,,mapped,not_available_at_source_grain,none,low,Tie In - Eng AWI23 | Tie-in | Tie In - Eng AWI23,Pad,Engineering
20260327_WBS_Data.xlsx,Data.Summary,c5887442b82c14c7,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203880963-D245401,E540-30-D245401,E540-30203-D245401,E540-3020388-D245401,E540-302038809-D245401,E540-30203880963-D245401,"Tie In - Inst,HookUp&Pre-Comm Pad AWI21",100584.920000,USD,,,,mapped,not_available_at_source_grain,none,low,"Tie In - Inst,HookUp&Pre-Comm Pad AWI21 | Tie-in | Tie In - Inst,HookUp&Pre-Comm Pad AWI21",Pad,"Installation, Hook Up & Pre-Commisioning"
