field,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,classification,sample_size,cost_total,cost_mean,cost_median,cost_p10,cost_p90,cost_min,cost_max
DARAJAT,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010294-D225301,well_tied,1,14136.94,14136.94,14136.94,14136.94,14136.94,14136.94,14136.94
DARAJAT,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010295-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010296-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010297-D225301,well_tied,1,7705.26,7705.26,7705.26,7705.26,7705.26,7705.26,7705.26
DARAJAT,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010298-D225301,well_tied,1,54349.72,54349.72,54349.72,54349.72,54349.72,54349.72,54349.72
DARAJAT,E530-30101-D225301,E530-3010101-D225301,E530-301010161-D225301,E530-30101016101-D225301,well_tied,1,532953.13,532953.13,532953.13,532953.13,532953.13,532953.13,532953.13
DARAJAT,E530-30101-D225301,E530-3010101-D225301,E530-301010161-D225301,E530-30101016102-D225301,well_tied,1,51443.06,51443.06,51443.06,51443.06,51443.06,51443.06,51443.06
DARAJAT,E530-30101-D225301,E530-3010101-D225301,E530-301010161-D225301,E530-30101016118-D225301,well_tied,1,337680.73,337680.73,337680.73,337680.73,337680.73,337680.73,337680.73
DARAJAT,E530-30101-D225301,E530-3010101-D225301,E530-301010161-D225301,E530-30101016193-D225301,well_tied,1,19432.99,19432.99,19432.99,19432.99,19432.99,19432.99,19432.99
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010201-D225301,E530-30101020160-D225301,well_tied,1,26370.44,26370.44,26370.44,26370.44,26370.44,26370.44,26370.44
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020204-D225301,well_tied,1,679.0,679.0,679.0,679.0,679.0,679.0,679.0
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020205-D225301,well_tied,1,577880.0,577880.0,577880.0,577880.0,577880.0,577880.0,577880.0
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020207-D225301,well_tied,1,345656.38,345656.38,345656.38,345656.38,345656.38,345656.38,345656.38
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020208-D225301,well_tied,1,105762.5,105762.5,105762.5,105762.5,105762.5,105762.5,105762.5
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020209-D225301,well_tied,1,269816.43,269816.43,269816.43,269816.43,269816.43,269816.43,269816.43
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020210-D225301,well_tied,1,271966.42,271966.42,271966.42,271966.42,271966.42,271966.42,271966.42
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020211-D225301,well_tied,1,67979.2,67979.2,67979.2,67979.2,67979.2,67979.2,67979.2
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020212-D225301,well_tied,1,476892.74,476892.74,476892.74,476892.74,476892.74,476892.74,476892.74
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020213-D225301,well_tied,1,67575.0,67575.0,67575.0,67575.0,67575.0,67575.0,67575.0
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020214-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020215-D225301,well_tied,1,60329.68,60329.68,60329.68,60329.68,60329.68,60329.68,60329.68
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020216-D225301,well_tied,1,80498.53,80498.53,80498.53,80498.53,80498.53,80498.53,80498.53
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020217-D225301,well_tied,1,16329.48,16329.48,16329.48,16329.48,16329.48,16329.48,16329.48
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020220-D225301,well_tied,1,8354.05,8354.05,8354.05,8354.05,8354.05,8354.05,8354.05
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020224-D225301,well_tied,1,51925.49,51925.49,51925.49,51925.49,51925.49,51925.49,51925.49
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020247-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020294-D225301,well_tied,1,32029.56,32029.56,32029.56,32029.56,32029.56,32029.56,32029.56
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020295-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020296-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020297-D225301,well_tied,1,7619.82,7619.82,7619.82,7619.82,7619.82,7619.82,7619.82
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020298-D225301,well_tied,1,55784.64,55784.64,55784.64,55784.64,55784.64,55784.64,55784.64
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010261-D225301,E530-30101026101-D225301,well_tied,1,319725.93,319725.93,319725.93,319725.93,319725.93,319725.93,319725.93
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010261-D225301,E530-30101026102-D225301,well_tied,1,55296.04,55296.04,55296.04,55296.04,55296.04,55296.04,55296.04
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010261-D225301,E530-30101026118-D225301,well_tied,1,587193.81,587193.81,587193.81,587193.81,587193.81,587193.81,587193.81
DARAJAT,E530-30101-D225301,E530-3010102-D225301,E530-301010261-D225301,E530-30101026193-D225301,well_tied,1,21580.53,21580.53,21580.53,21580.53,21580.53,21580.53,21580.53
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010301-D225301,E530-30101030160-D225301,well_tied,1,26370.44,26370.44,26370.44,26370.44,26370.44,26370.44,26370.44
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030204-D225301,well_tied,1,974.0,974.0,974.0,974.0,974.0,974.0,974.0
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030205-D225301,well_tied,1,838855.14,838855.14,838855.14,838855.14,838855.14,838855.14,838855.14
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030207-D225301,well_tied,1,305156.59,305156.59,305156.59,305156.59,305156.59,305156.59,305156.59
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030208-D225301,well_tied,1,151482.5,151482.5,151482.5,151482.5,151482.5,151482.5,151482.5
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030209-D225301,well_tied,1,475803.33,475803.33,475803.33,475803.33,475803.33,475803.33,475803.33
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030210-D225301,well_tied,1,415437.95,415437.95,415437.95,415437.95,415437.95,415437.95,415437.95
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030211-D225301,well_tied,1,53644.74,53644.74,53644.74,53644.74,53644.74,53644.74,53644.74
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030212-D225301,well_tied,1,415221.41,415221.41,415221.41,415221.41,415221.41,415221.41,415221.41
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030213-D225301,well_tied,1,29229.0,29229.0,29229.0,29229.0,29229.0,29229.0,29229.0
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030214-D225301,well_tied,1,35818.98,35818.98,35818.98,35818.98,35818.98,35818.98,35818.98
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030215-D225301,well_tied,1,85446.68,85446.68,85446.68,85446.68,85446.68,85446.68,85446.68
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030216-D225301,well_tied,1,66927.07,66927.07,66927.07,66927.07,66927.07,66927.07,66927.07
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030217-D225301,well_tied,1,16468.12,16468.12,16468.12,16468.12,16468.12,16468.12,16468.12
