classification_key,source_row_id,field,campaign_raw,campaign_canonical,campaign_start_year,campaign_code,well_raw,well_canonical,mapping_method,mapping_confidence,mapping_source,l0_id,l0_desc,l1_id,l1_desc,l2_id,l2_desc,l3_id,l3_desc,l4_id,l4_desc,l5_id,l5_desc,wbs_family_tag,family_group_key,classification,driver_family,budget_usd,release_usd,released_usd,committed_usd,actual_usd,source_sheet,source_workbook,source_field_campaign_year
SALAK|E540-30203-D245401|E540-3020392-D245401|E540-302039207-D245401|E540-30203920759-D245401,db7b460149006e97,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020392-D245401,E540-3020392-D245401,E540-302039207-D245401,E540-302039207-D245401,E540-30203920759-D245401,Engineering,Engineering,engineering,hybrid,pad_expansion_flag,0,0,0,0,43417.870000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020386-D245401|E540-302038609-D245401|E540-30203860962-D245401,a627bfa8a66f0523,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020386-D245401,E540-3020386-D245401,E540-302038609-D245401,E540-302038609-D245401,E540-30203860962-D245401,Construction,Construction,construction,hybrid,pad_expansion_flag,0,0,0,0,90927.030000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020386-D245401|E540-302038607-D245401|E540-30203860759-D245401,d6199b2a1c7a21d3,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020386-D245401,E540-3020386-D245401,E540-302038607-D245401,E540-302038607-D245401,E540-30203860759-D245401,Engineering,Engineering,engineering,hybrid,pad_expansion_flag,0,0,0,0,18558.070000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020385-D245401|E540-302038509-D245401|E540-30203850962-D245401,b853c2d9eb969017,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020385-D245401,E540-3020385-D245401,E540-302038509-D245401,E540-302038509-D245401,E540-30203850962-D245401,Construction,Construction,construction,hybrid,pad_expansion_flag,0,0,0,0,212923.340000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020385-D245401|E540-302038507-D245401|E540-30203850759-D245401,347e7ceffe56a856,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020385-D245401,E540-3020385-D245401,E540-302038507-D245401,E540-302038507-D245401,E540-30203850759-D245401,Engineering,Engineering,engineering,hybrid,pad_expansion_flag,0,0,0,0,13093.050000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020389-D245401|E540-302038909-D245401|E540-30203890963-D245401,b8b7dd42ef564761,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020389-D245401,E540-3020389-D245401,E540-302038909-D245401,E540-302038909-D245401,E540-30203890963-D245401,"Installation, Hook Up & Pre-Commisioning","Installation, Hook Up & Pre-Commisioning",installation_hook_up_pre_commisioning,hybrid,tie_in_flag,0,0,0,0,0.000000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020389-D245401|E540-302038908-D245401|E540-30203890821-D245401,040054f525d837b0,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020389-D245401,E540-3020389-D245401,E540-302038908-D245401,E540-302038908-D245401,E540-30203890821-D245401,Material - Non LL,Material - Non LL,material_non_ll,hybrid,tie_in_flag,0,0,0,0,44694.000000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020389-D245401|E540-302038908-D245401|E540-30203890860-D245401,e212cad996274b64,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020389-D245401,E540-3020389-D245401,E540-302038908-D245401,E540-302038908-D245401,E540-30203890860-D245401,Material - LL,Material - LL,material_ll,hybrid,tie_in_flag,0,0,0,0,176595.780000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020389-D245401|E540-302038907-D245401|E540-30203890759-D245401,637bb248e260c19f,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020389-D245401,E540-3020389-D245401,E540-302038907-D245401,E540-302038907-D245401,E540-30203890759-D245401,Engineering,Engineering,engineering,hybrid,tie_in_flag,0,0,0,0,89105.600000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020388-D245401|E540-302038809-D245401|E540-30203880963-D245401,c5887442b82c14c7,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020388-D245401,E540-3020388-D245401,E540-302038809-D245401,E540-302038809-D245401,E540-30203880963-D245401,"Installation, Hook Up & Pre-Commisioning","Installation, Hook Up & Pre-Commisioning",installation_hook_up_pre_commisioning,hybrid,tie_in_flag,0,0,0,0,100584.920000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020388-D245401|E540-302038808-D245401|E540-30203880821-D245401,25637daec875ecab,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020388-D245401,E540-3020388-D245401,E540-302038808-D245401,E540-302038808-D245401,E540-30203880821-D245401,Material - Non LL,Material - Non LL,material_non_ll,hybrid,tie_in_flag,0,0,0,0,139326.810000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
