field,campaign_canonical,campaign_year,well_canonical,well_name_actual,estimator_well_type,exclude_from_estimator_pool,exclusion_reason,actual_depth_ft,actual_days,npt_days,active_operational_days,pace_days_per_1000ft,ft_per_active_day,service_time_band,active_day_cost_usd,active_day_rate_usd_per_day,depth_cost_usd,depth_rate_usd_per_ft,per_well_job_cost_usd,total_direct_well_cost_usd
SALAK,SALAK_2025_2026,2025,AWI 21-7,AWI 21-7,Standard-J,no,,5060.000000,16.416667,0.083333,16.333333,3.227931,309.795925,Standard,2504307.730000,153324.966190,679497.020000,134.287949,0.000000,3183804.750000
SALAK,SALAK_2025_2026,2025,AWI 21-8,AWI 21-8,Standard-J,no,,4055.000000,13.916667,0.187500,13.729167,3.385738,295.356594,Standard,2579420.750000,187878.896804,607905.090000,149.914942,0.000000,3187325.840000
SALAK,SALAK_2025_2026,2025,AWI 23-1,AWI 23-1,Standard-J,no,,9000.000000,13.697917,0.041667,13.656250,1.517361,659.038902,Fast,3402734.890000,249170.518261,1477205.500000,164.133944,0.000000,4879940.390000
SALAK,SALAK_2025_2026,2025,AWI 23-2,AWI 23-2,Standard-J,no,,8050.000000,20.000000,0.020833,19.979167,2.481884,402.919701,Standard,3083552.880000,154338.410605,1242187.910000,154.309057,0.000000,4325740.790000
SALAK,SALAK_2025_2026,2025,AWI 3-9,AWI 3-9,Standard-J,no,,5500.000000,12.583333,0.145833,12.437500,2.261364,442.211055,Fast,2775030.690000,223118.045427,894823.500000,162.695182,0.000000,3669854.190000
SALAK,SALAK_2025_2026,2025,AWI 9-10 RD,AWI 9-10 RD,Standard-J,yes,incomplete_spend_pending_closeout,0.000000,0.000000,0.000000,0.000000,,,,25260.170000,,19867.570000,,0.000000,45127.740000
SALAK,SALAK_2025_2026,2025,AWI 9-11,AWI 9-11,Standard-J,yes,incomplete_spend_pending_closeout,9000.000000,11.333333,0.125000,11.208333,1.245370,802.974002,,47054.760000,4198.194326,64246.550000,7.138506,0.000000,111301.310000
WAYANG_WINDU,WAYANG_WINDU_2018,2018,MBA-6,MBA-6,Standard-J,no,,5732.000000,27.250000,0.020833,27.229167,4.750378,210.509561,Standard,3422436.200000,125690.080787,1063830.100000,185.594923,12864.210000,4499130.510000
WAYANG_WINDU,WAYANG_WINDU_2018,2018,MBA-7,MBA-7,Standard-J,no,,4965.000000,24.895833,1.531250,23.364583,4.705858,212.501118,Standard,3806037.040000,162897.708896,617048.180000,124.279593,0.000000,4423085.220000
WAYANG_WINDU,WAYANG_WINDU_2018,2018,MBD-7,MBD-7,Standard-J,no,,4997.000000,38.770833,0.125000,38.645833,7.733807,129.302427,Careful,5941875.160000,153752.027030,754415.080000,150.973600,0.000000,6696290.240000
WAYANG_WINDU,WAYANG_WINDU_2018,2018,MBD-8,MBD-8,Standard-J,no,,4140.000000,50.604167,2.187500,48.416667,11.694847,85.507745,Careful,8379684.040000,173074.367965,801016.060000,193.482140,0.000000,9180700.100000
WAYANG_WINDU,WAYANG_WINDU_2021,2021,MBD-8WO,MBD-8WO,Standard-J,no,,0.000000,0.000000,0.000000,0.000000,,,,2009735.740000,,806770.540000,,5802.670000,2822308.950000
WAYANG_WINDU,WAYANG_WINDU_2021,2021,MBE-6,MBE-6,Standard-J,no,,4500.000000,15.229167,0.125000,15.104167,3.356482,297.931028,Fast,1649256.420000,109192.146776,890583.370000,197.907416,131478.080000,2671317.870000
WAYANG_WINDU,WAYANG_WINDU_2021,2021,MBE-7,MBE-7,Standard-J,no,,7065.000000,24.104167,0.291667,23.812500,3.370488,296.692913,Standard,2388254.530000,100294.153491,1093973.140000,154.844040,152760.130000,3634987.800000
WAYANG_WINDU,WAYANG_WINDU_2021,2021,MBI-1,MBI-1,Standard-J,no,,4325.000000,10.916667,0.020833,10.895833,2.519268,396.940739,Fast,1214583.540000,111472.297712,703090.200000,162.564208,3034.210000,1920707.950000
WAYANG_WINDU,WAYANG_WINDU_2021,2021,WWA-8,WWA-8,Standard-J,no,,5263.000000,45.229167,0.843750,44.385417,8.433482,118.574982,Careful,3747755.100000,84436.631518,1558209.510000,296.068689,106790.110000,5412754.720000
WAYANG_WINDU,WAYANG_WINDU_2021,2021,WWA-9,WWA-9,Standard-J,no,,7158.000000,14.854167,0.062500,14.791667,2.066453,483.921116,Fast,1776119.040000,120075.650703,1127013.620000,157.448117,104153.880000,3007286.540000
