field,campaign_canonical,l2_id,l3_id,l3_desc,actual_usd
DARAJAT,DARAJAT_2023_2024,E530-30203-D235301,E530-3020390-D235301,E530-3020390-D235301,674608.580000
DARAJAT,DARAJAT_2023_2024,E530-30203-D235301,E530-3020392-D235301,E530-3020392-D235301,213472.230000
DARAJAT,DARAJAT_2023_2024,E530-30203-D235301,E530-3020393-D235301,E530-3020393-D235301,23242.000000
DARAJAT,DARAJAT_2023_2024,E530-30203-D235301,E530-3020394-D235301,E530-3020394-D235301,477900.570000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010101-D245401,E540-3010101-D245401,2329448.860000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010102-D245401,E540-3010102-D245401,4720721.520000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010103-D245401,E540-3010103-D245401,3183804.750000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010104-D245401,E540-3010104-D245401,4879940.390000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010105-D245401,E540-3010105-D245401,111301.310000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010106-D245401,E540-3010106-D245401,3669854.190000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010107-D245401,E540-3010107-D245401,3187325.840000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010108-D245401,E540-3010108-D245401,4325740.790000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010109-D245401,E540-3010109-D245401,45127.740000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010156-D245401,E540-3010156-D245401,2525023.620000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010161-D245401,E540-3010161-D245401,274554.310000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010169-D245401,E540-3010169-D245401,2472778.980000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010172-D245401,E540-3010172-D245401,0.000000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010173-D245401,E540-3010173-D245401,142754.250000
SALAK,SALAK_2025_2026,E540-30101-D245401,E540-3010195-D245401,E540-3010195-D245401,0.000000
SALAK,SALAK_2025_2026,E540-30129-D245401,E540-3012914-D245401,E540-3012914-D245401,475455.580000
SALAK,SALAK_2025_2026,E540-30129-D245401,E540-3012975-D245401,E540-3012975-D245401,417018.490000
SALAK,SALAK_2025_2026,E540-30129-D245401,E540-3012976-D245401,E540-3012976-D245401,147941.460000
SALAK,SALAK_2025_2026,E540-30129-D245401,E540-3012977-D245401,E540-3012977-D245401,381082.770000
SALAK,SALAK_2025_2026,E540-30129-D245401,E540-3012978-D245401,E540-3012978-D245401,136878.320000
SALAK,SALAK_2025_2026,E540-30129-D245401,E540-3012979-D245401,E540-3012979-D245401,131647.730000
SALAK,SALAK_2025_2026,E540-30129-D245401,E540-3012980-D245401,E540-3012980-D245401,13129.990000
SALAK,SALAK_2025_2026,E540-30129-D245401,E540-3012981-D245401,E540-3012981-D245401,320332.000000
SALAK,SALAK_2025_2026,E540-30129-D245401,E540-3012982-D245401,E540-3012982-D245401,9138.200000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020374-D245401,E540-3020374-D245401,1843582.920000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020383-D245401,E540-3020383-D245401,226180.780000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020384-D245401,E540-3020384-D245401,242887.800000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020385-D245401,E540-3020385-D245401,226016.390000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020386-D245401,E540-3020386-D245401,109485.100000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020387-D245401,E540-3020387-D245401,526616.990000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020388-D245401,E540-3020388-D245401,552402.940000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020389-D245401,E540-3020389-D245401,310395.380000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020390-D245401,E540-3020390-D245401,204264.700000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020392-D245401,E540-3020392-D245401,43417.870000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020393-D245401,E540-3020393-D245401,0.000000
SALAK,SALAK_2025_2026,E540-30203-D245401,E540-3020394-D245401,E540-3020394-D245401,336073.610000
SALAK,SALAK_2025_2026,E540-30299-D245401,E540-3029901-D245401,E540-3029901-D245401,0.000000
