field,row_count,mapped_well_rows,mapped_well_share_pct,unmapped_well_rows,unmapped_actual_usd,generated_at_utc
DARAJAT,452,343,75.88,109,37800566.780000,2026-05-09T17:12:26.022241+00:00
SALAK,396,338,85.35,58,22733944.030000,2026-05-09T17:12:26.022303+00:00
