snapshot_ts_utc,field,kpi_ready_share_pct,kpi_avg_sample_size,kpi_hard_gate_failures,kpi_known_limitations
2026-04-24T10:29:46.372468+00:00,DARAJAT,72.13,7.05,0,2
2026-04-24T10:29:46.372468+00:00,SALAK,71.93,5.16,0,2
