classification_key,field,wbs_lvl5,wbs_family_tag,reason_for_review,approval_status,observed_patterns,supporting_row_count,supporting_cost_total,proposed_classification,driver_family
DARAJAT|E530-30101-D235301|E530-3010104-D235301|E530-301010402-D235301|E530-30101040209-D235301,DARAJAT,E530-30101040209-D235301,Equipment Rental,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,1167015.340000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010104-D235301|E530-301010402-D235301|E530-30101040212-D235301,DARAJAT,E530-30101040212-D235301,"Cement, Cementing & Pump Fees",material_threshold,approved_auto,R1_DICT_WELL_TAG,1,747394.500000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010104-D235301|E530-301010402-D235301|E530-30101040214-D235301,DARAJAT,E530-30101040214-D235301,Open Hole Electrical Logging Service,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,571655.200000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010104-D235301|E530-301010461-D235301|E530-30101046101-D235301,DARAJAT,E530-30101046101-D235301,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,710970.270000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010105-D235301|E530-301010502-D235301|E530-30101050205-D235301,DARAJAT,E530-30101050205-D235301,Contract Rig,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,617565.900000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010105-D235301|E530-301010502-D235301|E530-30101050209-D235301,DARAJAT,E530-30101050209-D235301,Equipment Rental,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,665835.970000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010105-D235301|E530-301010502-D235301|E530-30101050212-D235301,DARAJAT,E530-30101050212-D235301,"Cement, Cementing & Pump Fees",material_threshold,approved_auto,R1_DICT_WELL_TAG,1,542203.170000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010105-D235301|E530-301010561-D235301|E530-30101056101-D235301,DARAJAT,E530-30101056101-D235301,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,892680.610000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010105-D235301|E530-301010561-D235301|E530-30101056118-D235301,DARAJAT,E530-30101056118-D235301,Fuel & Lubricants,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,560934.250000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010106-D235301|E530-301010602-D235301|E530-30101060205-D235301,DARAJAT,E530-30101060205-D235301,Contract Rig,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,970902.290000,well_tied,well_scope
