classification_key,field,wbs_code_lv5,wbs_lvl5,wbs_family_tag,example_wbs_label,supporting_cost_total,estimation_class,driver_family,well_estimation_use,campaign_estimation_use,approval_status,approval_basis,approval_notes
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010247-D225301,DARAJAT,E530-30101010247-D225301,E530-30101010247-D225301,Coring,Coring 14-1,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P036,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010294-D225301,DARAJAT,E530-30101010294-D225301,E530-30101010294-D225301,NDT Inspection,NDT Inspection 14-1,14136.940000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P047,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010295-D225301,DARAJAT,E530-30101010295-D225301,E530-30101010295-D225301,Rig Inspection,Rig Inspection 14-1,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P050,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010296-D225301,DARAJAT,E530-30101010296-D225301,E530-30101010296-D225301,Vehicle Inspection,Vehicle Inspection 14-1,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P054,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010297-D225301,DARAJAT,E530-30101010297-D225301,E530-30101010297-D225301,Welding Service,Welding Services 14-1,7705.260000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P055,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010298-D225301,DARAJAT,E530-30101010298-D225301,E530-30101010298-D225301,API non API Machine Shop Service,API non API Machine Shop Services 14-1,54349.720000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P031,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010161-D225301|E530-30101016101-D225301,DARAJAT,E530-30101016101-D225301,E530-30101016101-D225301,Casing,Casing 14-1,532953.130000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag. Material item above USD 500k; included in the material review queue.
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010161-D225301|E530-30101016102-D225301,DARAJAT,E530-30101016102-D225301,E530-30101016102-D225301,Well Equipment Surface,Well Equip. Surface 14-1,51443.060000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010161-D225301|E530-30101016118-D225301,DARAJAT,E530-30101016118-D225301,E530-30101016118-D225301,Fuel & Lubricants,Fuel & Lubricants 14-1,337680.730000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010161-D225301|E530-30101016193-D225301,DARAJAT,E530-30101016193-D225301,E530-30101016193-D225301,Asset Transfer,Asset Transfer 14-1,19432.990000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
