classification_key,field,wbs_lvl4,wbs_lvl5,supporting_cost_total,suggested_tag,suggestion_basis
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030210-D225301,DARAJAT,E530-301010302-D225301,E530-30101030210-D225301,415437.950000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030212-D225301,DARAJAT,E530-301010302-D225301,E530-30101030212-D225301,415221.410000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010210-D225301,DARAJAT,E530-301010102-D225301,E530-30101010210-D225301,401366.060000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012981-D225301|E530-301298160-D225301|E530-30129816043-D225301,DARAJAT,E530-301298160-D225301,E530-30129816043-D225301,383588.080000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010207-D225301,DARAJAT,E530-301010102-D225301,E530-30101010207-D225301,369513.610000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015602-D245401|E540-30101560223-D245401,SALAK,E540-301015602-D245401,E540-30101560223-D245401,363781.780000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D235301|E530-3010156-D235301|E530-301015603-D235301|E530-30101560323-D235301,DARAJAT,E530-301015603-D235301,E530-30101560323-D235301,362861.520000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050210-D225301,DARAJAT,E530-301010502-D225301,E530-30101050210-D225301,348618.990000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020207-D225301,DARAJAT,E530-301010202-D225301,E530-30101020207-D225301,345656.380000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015602-D245401|E540-30101560205-D245401,SALAK,E540-301015602-D245401,E540-30101560205-D245401,345435.730000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012981-D245401|E540-301298160-D245401|E540-30129816043-D245401,SALAK,E540-301298160-D245401,E540-30129816043-D245401,320332.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050207-D225301,DARAJAT,E530-301010502-D225301,E530-30101050207-D225301,319451.080000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030207-D225301,DARAJAT,E530-301010302-D225301,E530-30101030207-D225301,305156.590000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015603-D245401|E540-30101560305-D245401,SALAK,E540-301015603-D245401,E540-30101560305-D245401,289576.330000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020210-D225301,DARAJAT,E530-301010202-D225301,E530-30101020210-D225301,271966.420000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020209-D225301,DARAJAT,E530-301010202-D225301,E530-30101020209-D225301,269816.430000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040208-D225301,DARAJAT,E530-301010402-D225301,E530-30101040208-D225301,231601.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010156-D225301|E530-301015603-D225301|E530-30101560323-D225301,DARAJAT,E530-301015603-D225301,E530-30101560323-D225301,226964.090000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037404-D245401|E540-30203740403-D245401,SALAK,E540-302037404-D245401,E540-30203740403-D245401,223100.540000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037406-D245401|E540-30203740603-D245401,SALAK,E540-302037406-D245401,E540-30203740603-D245401,220191.090000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037403-D245401|E540-30203740303-D245401,SALAK,E540-302037403-D245401,E540-30203740303-D245401,218626.390000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037405-D245401|E540-30203740503-D245401,SALAK,E540-302037405-D245401,E540-30203740503-D245401,198917.390000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012977-D245401|E540-301297758-D245401|E540-30129775816-D245401,SALAK,E540-301297758-D245401,E540-30129775816-D245401,197118.960000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037402-D245401|E540-30203740203-D245401,SALAK,E540-302037402-D245401,E540-30203740203-D245401,188821.910000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012914-D235301|E530-301291463-D235301|E530-30129146321-D235301,DARAJAT,E530-301291463-D235301,E530-30129146321-D235301,188116.740000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015604-D245401|E540-30101560423-D245401,SALAK,E540-301015604-D245401,E540-30101560423-D245401,186020.800000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037401-D245401|E540-30203740160-D245401,SALAK,E540-302037401-D245401,E540-30203740160-D245401,177723.600000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012977-D245401|E540-301297758-D245401|E540-30129775817-D245401,SALAK,E540-301297758-D245401,E540-30129775817-D245401,176157.030000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010161-D225301|E530-301016101-D225301|E530-30101610123-D225301,DARAJAT,E530-301016101-D225301,E530-30101610123-D225301,169380.890000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012991-D235301|E530-301299127-D235301|E530-30129912724-D235301,DARAJAT,E530-301299127-D235301,E530-30129912724-D235301,156205.650000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030208-D225301,DARAJAT,E530-301010302-D225301,E530-30101030208-D225301,151482.500000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010173-D245401|E540-301017311-D245401|E540-30101731160-D245401,SALAK,E540-301017311-D245401,E540-30101731160-D245401,142754.250000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012981-D235301|E530-301298160-D235301|E530-30129816043-D235301,DARAJAT,E530-301298160-D235301,E530-30129816043-D235301,132251.660000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037405-D245401|E540-30203740560-D245401,SALAK,E540-302037405-D245401,E540-30203740560-D245401,131596.880000,campaign,default_for_shared_or_unknown_scope
