classification_key,field,wbs_code_lv5,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,classification,classification_confidence,classification_rule_id,classification_rule_text,recommended_allocation_basis,include_for_modeling_initial,review_status,review_notes,supporting_row_count,supporting_cost_total
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010216-D225301,DARAJAT,E530-30101010216-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010216-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,74087.430000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010217-D225301,DARAJAT,E530-30101010217-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010217-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,20360.220000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010220-D225301,DARAJAT,E530-30101010220-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010220-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,0.000000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010224-D225301,DARAJAT,E530-30101010224-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010224-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,40772.110000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010247-D225301,DARAJAT,E530-30101010247-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010247-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,0.000000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010294-D225301,DARAJAT,E530-30101010294-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010294-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,14136.940000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010295-D225301,DARAJAT,E530-30101010295-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010295-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,0.000000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010296-D225301,DARAJAT,E530-30101010296-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010296-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,0.000000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010297-D225301,DARAJAT,E530-30101010297-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010297-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,7705.260000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010298-D225301,DARAJAT,E530-30101010298-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010102-D225301,E530-30101010298-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,54349.720000
