field,bucket_id,method_branch,features_used,validation_design,n_obs,n_campaign_years,mae,mape,bias,interval_method,interval_coverage,synthetic_share,notes
DARAJAT,campaign_tied,field_specific_family_analog,"field,classification,family_group_key,depth_factor,anchor_distribution",historical_replay_median_peer,32,multi,see_validation_reports,see_validation_reports,see_validation_reports,empirical_p10_p90,not_available_point_forecast,0 unless enabled in app,No predictive validity claim beyond replay outputs; family-grain analogs remain field-specific.
DARAJAT,hybrid,field_specific_family_analog,"field,classification,family_group_key,depth_factor,anchor_distribution",historical_replay_median_peer,78,multi,see_validation_reports,see_validation_reports,see_validation_reports,empirical_p10_p90,not_available_point_forecast,0 unless enabled in app,No predictive validity claim beyond replay outputs; family-grain analogs remain field-specific.
DARAJAT,well_tied,field_specific_family_analog,"field,classification,family_group_key,depth_factor,anchor_distribution",historical_replay_median_peer,352,multi,see_validation_reports,see_validation_reports,see_validation_reports,empirical_p10_p90,not_available_point_forecast,0 unless enabled in app,No predictive validity claim beyond replay outputs; family-grain analogs remain field-specific.
SALAK,campaign_tied,field_specific_family_analog,"field,classification,family_group_key,depth_factor,anchor_distribution",historical_replay_median_peer,14,multi,see_validation_reports,see_validation_reports,see_validation_reports,empirical_p10_p90,not_available_point_forecast,0 unless enabled in app,No predictive validity claim beyond replay outputs; family-grain analogs remain field-specific.
SALAK,hybrid,field_specific_family_analog,"field,classification,family_group_key,depth_factor,anchor_distribution",historical_replay_median_peer,47,multi,see_validation_reports,see_validation_reports,see_validation_reports,empirical_p10_p90,not_available_point_forecast,0 unless enabled in app,No predictive validity claim beyond replay outputs; family-grain analogs remain field-specific.
SALAK,well_tied,field_specific_family_analog,"field,classification,family_group_key,depth_factor,anchor_distribution",historical_replay_median_peer,299,multi,see_validation_reports,see_validation_reports,see_validation_reports,empirical_p10_p90,not_available_point_forecast,0 unless enabled in app,No predictive validity claim beyond replay outputs; family-grain analogs remain field-specific.
