field,group_key,classification,driver_family,sample_size,campaign_count,synthetic_rows_used,cost_total,cost_mean,cost_median,cost_p10,cost_p90,cost_min,cost_max,estimator_readiness
SALAK,pgpa_security,campaign_tied,campaign_compliance,1,1,0,106038.43,106038.43,106038.43,106038.43,106038.43,106038.43,106038.43,thin_sample
SALAK,project_management_cost,campaign_tied,shared_support,2,2,0,69578.65,34789.325,34789.325,17461.857,52116.793,13129.99,56448.66,thin_sample
SALAK,rig_inspection,well_tied,well_scope,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ready
SALAK,rig_mobilization,campaign_tied,campaign_logistics,2,2,0,4562375.13,2281187.565,2281187.565,2127914.433,2434460.697,2089596.15,2472778.98,thin_sample
SALAK,rig_move,hybrid,interpad_move_count,4,2,0,4246654.47,1061663.6175,907903.055,745479.827,1500855.858,709217.51,1721630.85,ready
SALAK,rig_skid,hybrid,rig_skid_count,2,2,0,515448.58,257724.29,257724.29,244260.274,271188.306,240894.27,274554.31,thin_sample
SALAK,sampling_and_lab_analysis,campaign_tied,campaign_compliance,2,2,0,8009.83,4004.915,4004.915,1724.823,6285.007,1154.8,6855.03,thin_sample
SALAK,security,campaign_tied,shared_support,1,1,0,23682.08,23682.08,23682.08,23682.08,23682.08,23682.08,23682.08,thin_sample
SALAK,service,well_tied,well_scope,2,2,0,2009851.63,1004925.815,1004925.815,876390.835,1133460.795,844257.09,1165594.54,thin_sample
SALAK,service_lines_communication,well_tied,well_scope,12,2,0,8651.5,720.958333,810.0,41.6,1090.5,0.0,1350.0,ready
SALAK,supervision,well_tied,well_scope,12,2,0,650459.12,54204.926667,53226.22,31593.814,70401.405,0.0,136509.33,ready
SALAK,vehicle_inspection,well_tied,well_scope,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ready
SALAK,welding_service,well_tied,well_scope,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ready
SALAK,well_equipment_surface,well_tied,well_scope,12,2,0,817304.22,68108.685,71550.58,1093.766,135703.595,0.0,153306.91,ready
SALAK,well_testing,well_tied,well_scope,2,2,0,757000.07,378500.035,378500.035,347685.271,409314.799,339981.58,417018.49,thin_sample
SALAK,wellsite_geologist_wsg,campaign_tied,shared_support,2,2,0,236681.49,118340.745,118340.745,94660.173,142021.317,88740.03,147941.46,thin_sample
