field,campaign_canonical,campaign_code,campaign_raw,campaign_year,well_raw,well_canonical,level_2,level_3,level_4,level_5,pricing_basis,unit_price_basis,quantity_value,unit_price_usd,actual_cost_usd,actual_depth_ft,actual_days,npt_days,active_operational_days,data_quality_flag,source_workbook,source_sheet,source_row_key
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,5836.000000,97.174488,567110.310000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,144
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,5902.000000,72.571032,428314.230000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,145
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-48,DRJ-48,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,5399.500000,61.641215,332831.740000,5399.500000,21.479167,0.052083,21.427083,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,146
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,5860.000000,54.345913,318467.050000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,147
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-45OH,DRJ-45,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,5977.000000,97.163915,580748.720000,5977.000000,65.302083,1.333333,63.968750,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,148
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,5836.000000,63.209863,368892.760000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,149
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,5902.000000,50.544200,298311.870000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,150
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-48,DRJ-48,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,5399.500000,52.181480,281753.900000,5399.500000,21.479167,0.052083,21.427083,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,151
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Material - LL,Well Equipment Surface,depth_rate,ft_md,5860.000000,7.211923,42261.870000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,152
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-45OH,DRJ-45,Drilling Cost,Well Cost,Material - LL,Well Equipment Surface,depth_rate,ft_md,5977.000000,7.810694,46684.520000,5977.000000,65.302083,1.333333,63.968750,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,153
