source_row_id,campaign_raw,campaign_canonical,campaign_code,campaign_start_year,mapping_method,mapping_confidence
5d1421275d69d7aa,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
2019a4b8ef394571,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
fabf96dd64b0e7e4,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
5b727815a12d5300,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
5529c91c990e104c,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
05df7b35a4b0aca6,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
9e1c65601caa4846,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
e4013948fa877f48,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
43e21af0cc4528ae,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
dc03558ca2e2c56c,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
342b1050869d8ecd,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
78f21f21b8eea086,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
17a31c7fe190dce6,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
8d58592a7ec89e46,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
ba2542359a83410f,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
c79f32a42259bee2,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
00d27deec06db411,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
0fecd75545061994,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
92621273ddc3ea9c,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
caef718e546b6f5f,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
51c08245ca5ac6df,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
1b1b85d20730053e,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
8bc1b8a44a9c8865,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
b1c248f756ce1047,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
121c57f4a719a03b,SLK - 2021,SALAK_2021,E540-30101-D20001,2021,campaign_code_lookup,high
